Google,AS15169|AS36384|AS19527|AS395973|AS36040|AS16591|AS32381|AS396982|AS16550|AS36492
Microsoft,AS8068|AS8075|AS3598|AS8069|AS12076|AS23468|AS8070
Disney,AS396054|AS13379|AS11251|AS53578|AS22604|AS30311|AS29736|AS46557|AS8137|AS15260|AS40051|AS25932|AS54330|AS23344
Netflix,AS40027|AS394406|AS2906
Amazon,AS62785|AS7224|AS36263|AS19047|AS16509|AS14618
Cloudflare,AS13335|AS202623|AS395747|AS132892|AS209242
Apple,AS400506|AS6185|AS396959|AS714|AS11046
cn,AS139799|AS136188|AS63646|AS140345|AS17781|AS24406|AS58541|AS138371|AS136192|AS139203|AS141425|AS131477|AS24427|AS63583|AS136180|AS58593|AS4811|AS134771|AS138373|AS134774|AS38367|AS137788|AS139018|AS45110|AS58772|AS7609|AS45057|AS141679|AS24429|AS205651|AS23771|AS38364|AS140720|AS24355|AS63641|AS212237|AS63634|AS136198|AS139007|AS23839|AS45064|AS55994|AS63590|AS55468|AS58862|AS23911|AS138029|AS17622|AS58543|AS137699|AS23910|AS137691|AS135629|AS59078|AS24348|AS4847|AS140903|AS58466|AS139154|AS140726|AS38372|AS59025|AS139189|AS59019|AS133865|AS38357|AS24151|AS38381|AS37942|AS18241|AS137697|AS140527|AS37965|AS9384|AS45071|AS139635|AS133111|AS131536|AS45576|AS56042|AS24495|AS138369|AS59067|AS9401|AS9394|AS134760|AS140707|AS58536|AS137753|AS135357|AS131562|AS38379|AS134419|AS63581|AS137784|AS139767|AS37936|AS137806|AS58571|AS138407|AS56013|AS146842|AS45086|AS23851|AS63603|AS55982|AS137687|AS45084|AS131482|AS37963|AS45090|AS58461|AS55956|AS139090|AS140636|AS138991|AS131524|AS139726|AS150374|AS55439|AS4837|AS18245|AS136146|AS137692|AS137715|AS140633|AS147038|AS17799|AS137690|AS58850|AS18242|AS139172|AS135363|AS55966|AS56047|AS7497|AS7641|AS131567|AS63531|AS17962|AS136194|AS55996|AS131519|AS131512|AS45083|AS140716|AS132147|AS134766|AS140276|AS209650|AS58852|AS140886|AS58866|AS63695|AS139177|AS137764|AS4835|AS17775|AS136959|AS59050|AS24416|AS139148|AS131558|AS24444|AS134769|AS38272|AS140279|AS38378|AS38340|AS9389|AS149178|AS23841|AS9807|AS142608|AS59033|AS58517|AS139742|AS4816|AS136923|AS38345|AS9818|AS209864|AS17638|AS132833|AS59049|AS142111|AS135577|AS133846|AS139743|AS38365|AS134768|AS38342|AS38019|AS134543|AS134417|AS18244|AS142404|AS212371|AS7653|AS139061|AS17816|AS23724|AS58563|AS24149|AS140647|AS63548|AS59065|AS63580|AS24362|AS132525|AS63673|AS17490|AS63648|AS139220|AS59080|AS63617|AS9806|AS38283|AS140265|AS134764|AS24424|AS55958|AS7586|AS137747|AS63571|AS56048|AS24445|AS149837|AS56012|AS63619|AS17429|AS9814|AS133119|AS142611|AS138421|AS137735|AS55973|AS59045|AS146822|AS9308|AS63614|AS135089|AS139887|AS63704|AS137719|AS139178|AS63555|AS140083|AS55971|AS136197|AS24430|AS38358|AS59072|AS146834|AS9810|AS45101|AS24400|AS45113|AS134772|AS59009|AS10206|AS59074|AS17442|AS38346|AS24367|AS140638|AS139182|AS55960|AS24413|AS131578|AS58834|AS137694|AS132510|AS24428|AS59083|AS141776|AS58860|AS137787|AS58998|AS131506|AS58518|AS132153|AS45074|AS133219|AS58520|AS139080|AS135061|AS136189|AS4859|AS141157|AS131495|AS24361|AS9808|AS133118|AS139201|AS18257|AS58859|AS17621|AS55992|AS45075|AS150145|AS63593|AS58540|AS137698|AS9809|AS132698|AS137759|AS146845|AS210714|AS4808|AS24139|AS45061|AS38238|AS58851|AS140717|AS134425|AS149979|AS131285|AS140278|AS137798|AS138949|AS24363|AS138950|AS9298|AS58962|AS17739|AS63565|AS59073|AS137791|AS147008|AS17964|AS140330|AS131497|AS146758|AS45058|AS133776|AS59022|AS136766|AS212793|AS45062|AS134420|AS140979|AS55998|AS146774|AS139266|AS209306|AS9406|AS4134|AS4812|AS55461|AS209218|AS210041|AS56019|AS146966|AS59057|AS139136|AS23844|AS56005|AS9803|AS58811|AS138545|AS132203|AS134810|AS141998|AS56044|AS24138|AS139888|AS63690|AS146746|AS131486|AS63838|AS139110|AS149648|AS24547|AS24147|AS138169|AS134773|AS55976|AS63701|AS56003|AS56011|AS56282|AS63612|AS23852|AS135006|AS208993|AS58542|AS137571|AS148981|AS18239|AS9805|AS133774|AS17969|AS24137|AS58879|AS136195|AS38380|AS4842|AS138982|AS132225|AS139138|AS211843|AS9929|AS38370|AS23853|AS206628|AS139141|AS17633|AS63727|AS24489|AS24350|AS141771|AS133952|AS56002|AS133194|AS140292|AS23842|AS63689|AS134763|AS38337|AS133475|AS56006|AS137711|AS131577|AS24490|AS56015|AS137804|AS134756|AS137693|AS139139|AS63582|AS136958|AS23650|AS137702|AS59012|AS59048|AS9811|AS10212|AS134761|AS58539|AS38057|AS56041|AS17623|AS140061|AS10111|AS9405|AS38339|AS63697|AS17430|AS4611|AS23848|AS140105|AS139721|AS63629|AS133775|AS137689|AS141739|AS146812|AS59034|AS24349|AS58519|AS24143|AS24422|AS148969|AS134578|AS131325|AS134770|AS38363|AS139183|AS139019|AS38027|AS38375|AS59003|AS146814|AS146769|AS139057|AS59011|AS63620|AS4809|AS38341|AS59089|AS42962|AS63696|AS17776|AS137767|AS59037|AS210025|AS58448|AS146809|AS55990|AS18118|AS17897|AS134238|AS137539|AS9939|AS45079|AS139099|AS9802|AS136190|AS9306|AS37970|AS63561|AS55786|AS139179|AS137688|AS24134|AS24141|AS140485|AS136173|AS136955|AS44421|AS9812|AS139462|AS24364|AS24357|AS9392|AS203691|AS37937|AS136191|AS149513|AS17968|AS134762|AS136200|AS56000|AS137785|AS63722|AS137758|AS134542|AS59029|AS137782|AS63835|AS137801|AS63615|AS136160|AS24409|AS137710|AS56046|AS55967|AS17428|AS59043|AS139118|AS56040|AS137695|AS7640|AS137718|AS9801|AS59077|AS63631|AS4538|AS140553|AS134765
hk,AS132883|AS9590|AS133204|AS139773|AS24010|AS4760|AS137280|AS207190|AS147293|AS149641|AS4158|AS131994|AS18382|AS4646|AS55331|AS13006|AS140240|AS135391|AS24462|AS59248|AS206922|AS138485|AS9444|AS135026|AS38870|AS133424|AS141394|AS149014|AS58658|AS205960|AS57523|AS208304|AS135097|AS45327|AS137451|AS137927|AS58579|AS133322|AS136970|AS9312|AS59217|AS137263|AS55639|AS138449|AS150154|AS136778|AS24396|AS132017|AS146952|AS10032|AS132721|AS24043|AS64033|AS137857|AS149282|AS9229|AS10116|AS64078|AS213165|AS9584|AS10238|AS23985|AS140883|AS140925|AS45597|AS139659|AS7484|AS139327|AS45136|AS10108|AS9908|AS23881|AS138687|AS64096|AS38475|AS133073|AS133734|AS38578|AS150173|AS212147|AS136897|AS136744|AS134428|AS135572|AS136543|AS149651|AS133199|AS4658|AS136448|AS134523|AS135273|AS205109|AS134700|AS133012|AS10222|AS149628|AS58627|AS132342|AS45187|AS133948|AS63527|AS55512|AS134127|AS137196|AS136798|AS149438|AS202917|AS55350|AS135652|AS38226|AS63946|AS136621|AS38452|AS138915|AS133929|AS55361|AS132168|AS141735|AS138648|AS55799|AS7650|AS149002|AS137405|AS212836|AS51847|AS132056|AS141750|AS135562|AS150776|AS138609|AS10098|AS138152|AS138402|AS38580|AS149481|AS45640|AS135158|AS45496|AS9513|AS141159|AS134196|AS9744|AS132369|AS24449|AS141766|AS137877|AS18116|AS17554|AS147060|AS141356|AS202662|AS9263|AS57678|AS210398|AS58958|AS55933|AS135081|AS64047|AS62325|AS133380|AS38166|AS133955|AS133772|AS55334|AS38032|AS212921|AS58708|AS131234|AS45474|AS133747|AS140596|AS24077|AS132233|AS132818|AS134098|AS149840|AS63928|AS133041|AS4637|AS137951|AS147019|AS63981|AS17990|AS17975|AS134829|AS140304|AS139646|AS4616|AS133054|AS209671|AS140693|AS141163|AS55858|AS139262|AS4058|AS58779|AS17888|AS55536|AS10231|AS133583|AS141029|AS4645|AS134687|AS134366|AS135110|AS137816|AS150342|AS134518|AS137913|AS42375|AS133789|AS133038|AS131274|AS4655|AS137918|AS131224|AS131091|AS132685|AS9516|AS147001|AS133527|AS24568|AS131324|AS138693|AS17814|AS131184|AS56195|AS136907|AS10103|AS38478|AS133861|AS24023|AS10127|AS135166|AS136782|AS4748|AS17988|AS7499|AS134524|AS23648|AS9735|AS141366|AS18013|AS131685|AS138630|AS131314|AS135596|AS38591|AS38277|AS134526|AS133852|AS10232|AS132283|AS17929|AS134997|AS202665|AS135356|AS17794|AS133762|AS133926|AS134072|AS133488|AS132899|AS7577|AS133783|AS135621|AS133771|AS64022|AS146961|AS142267|AS56180|AS24334|AS38814|AS10138|AS45485|AS135552|AS137990|AS133904|AS150788|AS142578|AS24545|AS137260|AS24182|AS133115|AS38802|AS56302|AS45753|AS38186|AS137969|AS4352|AS132813|AS138647|AS17759|AS132585|AS45910|AS141768|AS148987|AS150338|AS9237|AS142040|AS139836|AS136223|AS132549|AS132018|AS2706|AS43072|AS141001|AS135314|AS17540|AS24058|AS133107|AS134753|AS210488|AS45908|AS138571|AS56136|AS137207|AS141884|AS24373|AS9474|AS139330|AS140733|AS134449|AS142560|AS137518|AS4862|AS58931|AS138538|AS133744|AS60024|AS4656|AS141174|AS17444|AS133752|AS133372|AS133077|AS210504|AS137443|AS23764|AS133398|AS38564|AS38873|AS17924|AS4641|AS136933|AS132310|AS134729|AS64021|AS139811|AS137386|AS140671|AS45761|AS17989|AS63889|AS213347|AS45911|AS7479|AS7581|AS136038|AS140595|AS142007|AS150179|AS7721|AS134684|AS150150|AS24002|AS132139|AS141237|AS4828|AS133201|AS138400|AS10132|AS140227|AS139734|AS140591|AS137995|AS138994|AS141444|AS209584|AS133793|AS9729|AS10099|AS18218|AS134608|AS134413|AS141203|AS135373|AS132422|AS140214|AS135489|AS140629|AS136493|AS135140|AS132327|AS142014|AS132702|AS17555|AS58807|AS149769|AS206888|AS64019|AS24112|AS148982|AS132591|AS137882|AS7651|AS17537|AS10082|AS140057|AS55750|AS134368|AS9554|AS132742|AS135386|AS10236|AS63915|AS2042|AS137999|AS140951|AS4642|AS132499|AS63834|AS9538|AS139259|AS148990|AS142020|AS138627|AS132252|AS9468|AS58944|AS149796|AS134979|AS59214|AS142574|AS38531|AS136726|AS7468|AS63959|AS136962|AS139914|AS203595|AS141475|AS150117|AS211647|AS142012|AS60699|AS38819|AS210636|AS141167|AS138645|AS131448|AS51089|AS38603|AS137185|AS136746|AS17984|AS210110|AS9231|AS136950|AS135330|AS9304|AS59371|AS210462|AS135293|AS137993|AS38008|AS134795|AS4623|AS42960|AS55778|AS3662|AS209642|AS131444|AS9269|AS141718|AS24304|AS150337|AS150452|AS24399|AS140614|AS4515|AS137872|AS10202|AS4605|AS132325|AS138607|AS136491|AS45888|AS9906|AS135343|AS9381|AS132839|AS4528|AS3363|AS63916|AS17764|AS63855|AS132364|AS138963|AS38136|AS138456|AS135319|AS24549|AS137446|AS9502|AS133953|AS134721|AS9293|AS56971|AS23875|AS202746|AS137973|AS9520|AS23730|AS134533|AS55355|AS133448|AS45561|AS133329|AS131337|AS133731|AS134492|AS55743|AS134548|AS132146|AS56190|AS135581|AS133127|AS142113|AS10118|AS136758|AS135152|AS142643|AS140944|AS138576|AS150290|AS134175|AS63888|AS140570|AS17706|AS38486|AS59352|AS55649|AS136237|AS137940|AS140107|AS17630|AS131280|AS135146|AS211598|AS7540|AS136742|AS134167|AS135067|AS41717|AS4594|AS141153|AS139021|AS56082|AS136993|AS58411|AS131189|AS38866|AS55940|AS141405|AS142019|AS150113|AS136526|AS139228|AS9266|AS142032|AS135062|AS149175|AS149767|AS9536|AS9925|AS3661|AS135398|AS56080|AS208932|AS55852|AS142403|AS134176|AS23749|AS141187|AS140096|AS139805|AS134544|AS9289|AS138997|AS17619|AS136547|AS131188|AS10205|AS9660|AS55953|AS137887|AS139293|AS138921|AS139750|AS58744|AS58453|AS135377|AS134835|AS38047|AS137930|AS139265|AS149457|AS17487|AS132304|AS55807|AS138527|AS141759|AS17793|AS34806|AS17485|AS38574|AS56059|AS139240|AS9833|AS38056|AS9732|AS138995|AS9253|AS138516|AS139606|AS9221|AS134379|AS150345|AS34813
